point,claim_level,sample_type,representative_sample,fpr_literal_reproduction,r,overall_scale,Lambda_IR_scan_GeV,M_KK_scan_GeV,xi_KK_scan,m_gkk_publication_TeV,xi_kk_publication,k_GeV,g_s_star,v_GeV,target_label,mass_scheme,mass_target_source,ckm_target_source,mass_target_scale_GeV,wilson_reference_scale_GeV,fit_success,fit_score,residual_norm,max_abs_log_mass_residual,max_abs_ckm_observable_residual,constraint_M_KK_GeV,constraint_xi_KK,constraint_matching_scale_GeV,constraint_rg_low_scale_GeV,constraint_evaluation,constraint_operator_basis,constraint_weight_policy,binding_system_physical_mgkk,max_ratio_to_bound_physical_mgkk,ratio_epsilon_K_physical_mgkk,passes_epsilon_K_physical_mgkk,bound_epsilon_K,dominant_operator_epsilon_K,dominant_operator_size_epsilon_K,weighted_size_epsilon_K_C1_VLL,weighted_size_epsilon_K_C1_VRR,weighted_size_epsilon_K_C4_LR,weighted_size_epsilon_K_C5_LR,ratio_DeltaM_K_physical_mgkk,passes_DeltaM_K_physical_mgkk,bound_DeltaM_K,dominant_operator_DeltaM_K,dominant_operator_size_DeltaM_K,weighted_size_DeltaM_K_C1_VLL,weighted_size_DeltaM_K_C1_VRR,weighted_size_DeltaM_K_C4_LR,weighted_size_DeltaM_K_C5_LR,ratio_DeltaM_B_d_physical_mgkk,passes_DeltaM_B_d_physical_mgkk,bound_DeltaM_B_d,dominant_operator_DeltaM_B_d,dominant_operator_size_DeltaM_B_d,weighted_size_DeltaM_B_d_C1_VLL,weighted_size_DeltaM_B_d_C1_VRR,weighted_size_DeltaM_B_d_C4_LR,weighted_size_DeltaM_B_d_C5_LR,ratio_DeltaM_B_s_physical_mgkk,passes_DeltaM_B_s_physical_mgkk,bound_DeltaM_B_s,dominant_operator_DeltaM_B_s,dominant_operator_size_DeltaM_B_s,weighted_size_DeltaM_B_s_C1_VLL,weighted_size_DeltaM_B_s_C1_VRR,weighted_size_DeltaM_B_s_C4_LR,weighted_size_DeltaM_B_s_C5_LR,ratio_DeltaM_D0_physical_mgkk,passes_DeltaM_D0_physical_mgkk,bound_DeltaM_D0,dominant_operator_DeltaM_D0,dominant_operator_size_DeltaM_D0,weighted_size_DeltaM_D0_C1_VLL,weighted_size_DeltaM_D0_C1_VRR,weighted_size_DeltaM_D0_C4_LR,weighted_size_DeltaM_D0_C5_LR,Y_basis,matrix_index_order,mass_matrix_formula,ckm_phase_convention,max_abs_Y_u_bulk,max_abs_Y_d_bulk,max_abs_Y_bulk,m_fit_GeV_u,m_fit_GeV_c,m_fit_GeV_t,m_fit_GeV_d,m_fit_GeV_s,m_fit_GeV_b,target_m_GeV_u,target_m_GeV_c,target_m_GeV_t,target_m_GeV_d,target_m_GeV_s,target_m_GeV_b,log_mass_residual_u,log_mass_residual_c,log_mass_residual_t,log_mass_residual_d,log_mass_residual_s,log_mass_residual_b,ckm_observable_Vus,ckm_observable_Vcb,ckm_observable_Vub,ckm_observable_J,target_ckm_observable_Vus,target_ckm_observable_Vcb,target_ckm_observable_Vub,target_ckm_observable_J,ckm_observable_relative_residual_Vus,ckm_observable_relative_residual_Vcb,ckm_observable_relative_residual_Vub,ckm_observable_relative_residual_J,Jarlskog_refit,CKM_ud_re,CKM_ud_im,CKM_ud_abs,CKM_us_re,CKM_us_im,CKM_us_abs,CKM_ub_re,CKM_ub_im,CKM_ub_abs,CKM_cd_re,CKM_cd_im,CKM_cd_abs,CKM_cs_re,CKM_cs_im,CKM_cs_abs,CKM_cb_re,CKM_cb_im,CKM_cb_abs,CKM_td_re,CKM_td_im,CKM_td_abs,CKM_ts_re,CKM_ts_im,CKM_ts_abs,CKM_tb_re,CKM_tb_im,CKM_tb_abs,target_CKM_ud_re,target_CKM_ud_im,target_CKM_ud_abs,target_CKM_us_re,target_CKM_us_im,target_CKM_us_abs,target_CKM_ub_re,target_CKM_ub_im,target_CKM_ub_abs,target_CKM_cd_re,target_CKM_cd_im,target_CKM_cd_abs,target_CKM_cs_re,target_CKM_cs_im,target_CKM_cs_abs,target_CKM_cb_re,target_CKM_cb_im,target_CKM_cb_abs,target_CKM_td_re,target_CKM_td_im,target_CKM_td_abs,target_CKM_ts_re,target_CKM_ts_im,target_CKM_ts_abs,target_CKM_tb_re,target_CKM_tb_im,target_CKM_tb_abs,c_Q_1,c_Q_2,c_Q_3,c_u_1,c_u_2,c_u_3,c_d_1,c_d_2,c_d_3,F_Q_1,F_Q_2,F_Q_3,F_u_1,F_u_2,F_u_3,F_d_1,F_d_2,F_d_3,Y_u_bulk_11_re,Y_u_bulk_11_im,Y_u_bulk_12_re,Y_u_bulk_12_im,Y_u_bulk_13_re,Y_u_bulk_13_im,Y_u_bulk_21_re,Y_u_bulk_21_im,Y_u_bulk_22_re,Y_u_bulk_22_im,Y_u_bulk_23_re,Y_u_bulk_23_im,Y_u_bulk_31_re,Y_u_bulk_31_im,Y_u_bulk_32_re,Y_u_bulk_32_im,Y_u_bulk_33_re,Y_u_bulk_33_im,Y_d_bulk_11_re,Y_d_bulk_11_im,Y_d_bulk_12_re,Y_d_bulk_12_im,Y_d_bulk_13_re,Y_d_bulk_13_im,Y_d_bulk_21_re,Y_d_bulk_21_im,Y_d_bulk_22_re,Y_d_bulk_22_im,Y_d_bulk_23_re,Y_d_bulk_23_im,Y_d_bulk_31_re,Y_d_bulk_31_im,Y_d_bulk_32_re,Y_d_bulk_32_im,Y_d_bulk_33_re,Y_d_bulk_33_im,M_u_GeV_11_re,M_u_GeV_11_im,M_u_GeV_12_re,M_u_GeV_12_im,M_u_GeV_13_re,M_u_GeV_13_im,M_u_GeV_21_re,M_u_GeV_21_im,M_u_GeV_22_re,M_u_GeV_22_im,M_u_GeV_23_re,M_u_GeV_23_im,M_u_GeV_31_re,M_u_GeV_31_im,M_u_GeV_32_re,M_u_GeV_32_im,M_u_GeV_33_re,M_u_GeV_33_im,M_d_GeV_11_re,M_d_GeV_11_im,M_d_GeV_12_re,M_d_GeV_12_im,M_d_GeV_13_re,M_d_GeV_13_im,M_d_GeV_21_re,M_d_GeV_21_im,M_d_GeV_22_re,M_d_GeV_22_im,M_d_GeV_23_re,M_d_GeV_23_im,M_d_GeV_31_re,M_d_GeV_31_im,M_d_GeV_32_re,M_d_GeV_32_im,M_d_GeV_33_re,M_d_GeV_33_im
1,operational_scan_only,focused_fitted_envelope_existence_point,false,false,0.022995139907954716,1.5,2090.1475228601839,2090.1475228601839,1,5.1181173500424366,2.4486871352691608,1.2209e+19,3,174,pdg-2024-msbar-mu-mt-v1,PDG-2024 MSbar masses evolved to mu=m_t(m_t),quarkConstraints.benchmarks.default_quark_targets,quarkConstraints.benchmarks.ckm_like_unitary PDG-like central target,163.5,3000,true,9.9554962319811068e-09,3.1482043330284332e-08,2.723867024536002e-09,1.8336390841953573e-08,5118.1173500424366,2.4486871352691608,5118.1173500424366,2,full_current_backend_at_physical_mgkk_with_qcd_rg,kk_gluon_tree_v1,quarkConstraints.modern.inputs.modern_default.operator_weights.repo_deltaf2_v1,epsilon_K,0.25582593566542339,0.25582593566542339,true,0.00041800000000000002,C4_LR,2.0881150586146819e-05,7.508260002857712e-10,3.6456314613640271e-08,2.0881150586146819e-05,3.7780200371774337e-06,0.0038782480794785361,true,1.7419999999999999e-15,C4_LR,8.1274013059317328e-18,9.1897108518191175e-20,7.10673847589546e-21,8.1274013059317328e-18,1.470488173403771e-18,0.0042976632291201111,true,1.6670000000000001e-13,C4_LR,5.2211762329453866e-16,2.6226484377963357e-16,1.5633066635408719e-18,5.2211762329453866e-16,6.9482712744758654e-17,0.0042857326304334108,true,5.8439999999999997e-12,C4_LR,2.1298321043746967e-14,6.4658092853591599e-15,1.0651753716685985e-16,2.1298321043746967e-14,2.824169589699683e-15,0.027691075186874171,true,3.1250000000000001e-15,C4_LR,9.604287393515849e-17,3.3323587729034148e-18,2.3112129348440057e-18,9.604287393515849e-17,1.5151835251517711e-17,bulk_mass_eigenbasis,"1,2,3 light_to_heavy",M=2*v*diag(F_Q)*Y_bulk*diag(F_u_or_F_d),raw SVD phase convention; compare abs entries and J unless rephased,5.7804887178903499,0.81819873594191816,5.7804887178903499,0.0011895431833932287,0.60228595114024519,162.42274671792293,0.0025883578559530527,0.051491799890971884,2.7319836767371104,0.0011895431830651732,0.60228595099926319,162.42274716034089,0.0025883578520396787,0.051491799822486681,2.7319836796918988,2.7578272994793468e-10,2.3407809021694218e-10,-2.723867024536002e-09,1.5119137042002626e-09,1.3300216474868924e-09,-1.0815541801343507e-09,0.22544369368347861,0.041487807204693548,0.0036799916265225249,3.1178778958532224e-05,0.22544369666379885,0.041487807872753274,0.0036799916940002909,3.1178778508794626e-05,-1.3219798489385533e-08,-1.6102555421674785e-08,-1.8336390841953573e-08,1.442447779376582e-08,3.1178778958532224e-05,0.89984265034523137,-0.37342308881434799,0.97424924872435936,0.177564830204646,-0.13890856739613064,0.22544369368347861,0.0032313708787224541,0.0017608465621457125,0.0036799916265225249,-0.19848075970606771,0.10639051728758858,0.22519670100207612,0.70343279494004884,-0.6728651504677281,0.97342961107166204,-0.029012701951604568,0.029656386700358191,0.041487807204693548,-0.011148628725506865,-0.00074518141655693113,0.011173505170839572,0.039842938614462378,0.0047406233542137081,0.040123973721733167,0.99695759807716211,0.065884498565221494,0.99913223324791944,0.9742492480344509,0,0.9742492480344509,0.22544369666379885,0,0.22544369666379885,0.0013471824067506084,-0.003424534775827626,0.0036799916940002909,-0.22530556767038121,-0.00013841974017208506,0.22530561019046375,0.97340440865482647,-3.2030671800460974e-05,0.97340440918182425,0.041487807872753274,0,0.041487807872753274,0.0080419211694671682,-0.0033335003995399052,0.0087054420341334121,-0.040723467342750036,-0.00077138027503609818,0.040730772395631581,0.9991322332199305,0,0.9991322332199305,0.61818694370266425,0.57703688375701889,0.46902320077769066,0.65429211917885965,0.50239512779285611,0.3117836293386595,0.63297329410349557,0.58672625204887152,0.53740708761272427,0.0047090214520822456,0.016965116572095214,0.18609105565579798,0.0014505331201092764,0.11229347238972653,0.43383935880823682,0.0029199288928850667,0.012650447538814912,0.051470254236915113,-0.35780164592560709,-0.073259020826497517,0.5257783649121075,0.072309976777300056,-0.42458700907159258,0.68612040422825438,-0.22281600861225073,-0.041670212196059077,-0.86339685687898771,-0.11786970037713727,0.10269041853885544,-0.75301959557878395,0.022657064167124711,-0.013297179965709725,-0.18346630719307272,-0.021676281986146122,-1.6020430826366336,5.5540532747745344,0.47259944611806948,-0.093185889223039331,-0.1672181515347716,-0.08354548315034066,0.16008235778699542,0.053495304642177603,-0.091572665935516592,0.054664755237770667,-0.63081943537912577,-0.060301866068283062,-0.26460508073736089,0.034059041898777551,0.1201837474659891,-0.059250752522430755,0.16196905348957244,0.045459892432406696,-0.8177946743290142,-0.025710739702591159,-0.0008505109246134333,-0.00017414005287268568,0.09675360058684522,0.013306463480528493,-0.30185999776039346,0.48779708106608249,-0.0019081395440825261,-0.00035685308338854506,-0.5724019003145181,-0.078143486332881762,0.26302375015987667,-1.9287294841247902,0.0021283155967628115,-0.0012490848463520715,-1.3341835282302235,-0.15763187705498019,-45.00988301326263,156.04279988251145,0.0022613896317013344,-0.00044589473271875927,-0.0034665639883308683,-0.001731963669126262,0.013502360482980877,0.0045121329883625735,-0.001578607731404935,0.00094235768252580541,-0.04711368212240391,-0.0045037340164089607,-0.080406393775549978,0.010349630199464239,0.022725987353825822,-0.01120394296999668,0.1326913698953214,0.0372425180748392,-2.7258712238046252,-0.085698975180447501
2,operational_scan_only,focused_fitted_envelope_existence_point,false,false,0.021949975309861126,1.736842105263158,2090.1475228601839,2090.1475228601839,1,5.1181173500424366,2.4486871352691608,1.2209e+19,3,174,pdg-2024-msbar-mu-mt-v1,PDG-2024 MSbar masses evolved to mu=m_t(m_t),quarkConstraints.benchmarks.default_quark_targets,quarkConstraints.benchmarks.ckm_like_unitary PDG-like central target,163.5,3000,true,7.4893957652796154e-09,2.3683548916703393e-08,6.1530166706740874e-09,1.4395911610486927e-08,5118.1173500424366,2.4486871352691608,5118.1173500424366,2,full_current_backend_at_physical_mgkk_with_qcd_rg,kk_gluon_tree_v1,quarkConstraints.modern.inputs.modern_default.operator_weights.repo_deltaf2_v1,epsilon_K,0.25072960203826722,0.25072960203826722,true,0.00041800000000000002,C4_LR,2.0458661387704952e-05,7.4498234590172504e-10,4.1056165307540375e-08,2.0458661387704952e-05,3.7015791987945444e-06,0.0028173344097795726,true,1.7419999999999999e-15,C4_LR,5.9136648916186365e-18,5.8153848466661987e-20,5.9457101409136577e-21,5.9136648916186365e-18,1.0699575371344833e-18,0.0026469152197317707,true,1.6670000000000001e-13,C4_LR,3.3580673299226215e-16,1.4904363600839369e-16,1.1379231018210023e-18,3.3580673299226215e-16,4.4688709450235634e-17,0.0044420671926598534,true,5.8439999999999997e-12,C4_LR,2.2452691197210136e-14,6.3642936117291989e-15,1.2026516959546023e-16,2.2452691197210136e-14,2.9772397343355562e-15,0.036437048501845766,true,3.1250000000000001e-15,C4_LR,1.2649275232025741e-16,3.9246551120103045e-18,3.404012956907802e-18,1.2649275232025741e-16,1.9955643403190212e-17,bulk_mass_eigenbasis,"1,2,3 light_to_heavy",M=2*v*diag(F_Q)*Y_bulk*diag(F_u_or_F_d),raw SVD phase convention; compare abs entries and J unless rephased,5.8352906279702648,0.82422648946101285,5.8352906279702648,0.0011895431834137308,0.60228595083154446,162.42274616095102,0.0025883578558906022,0.051491799870754591,2.7319836822599664,0.0011895431830651732,0.60228595099926319,162.42274716034089,0.0025883578520396787,0.051491799822486681,2.7319836796918988,2.9301805422191882e-10,-2.7847024690044573e-10,-6.1530166706740874e-09,1.4877863374652962e-09,9.3739016505030976e-10,9.4000096551256755e-10,0.22544369412945162,0.041487807275498459,0.0036799916562156383,3.1178778787443678e-05,0.22544369666379885,0.041487807872753274,0.0036799916940002909,3.1178778508794626e-05,-1.1241597212870161e-08,-1.4395911610486927e-08,-1.0267591809649165e-08,8.9371381882679454e-09,3.1178778787443678e-05,0.5373490920774705,-0.81266078512636142,0.97424924862104778,0.055228462496564233,-0.21857418912808377,0.22544369412945162,-0.0031082802176354896,-0.0019700082940111168,0.0036799916562156383,-0.10674065834642098,0.19841635187893564,0.22530560764697574,0.15140862309196759,-0.96155684900253968,0.97340440979599963,0.0040930916138339681,-0.041285406060370351,0.041487807275498459,0.0086824593663367196,-0.00063215781462533924,0.0087054422145391389,-0.040730645675583585,-0.00010134011101208389,0.040730771745303769,0.99640924714059276,-0.073714528565257689,0.99913223324486988,0.9742492480344509,0,0.9742492480344509,0.22544369666379885,0,0.22544369666379885,0.0013471824067506084,-0.003424534775827626,0.0036799916940002909,-0.22530556767038121,-0.00013841974017208506,0.22530561019046375,0.97340440865482647,-3.2030671800460974e-05,0.97340440918182425,0.041487807872753274,0,0.041487807872753274,0.0080419211694671682,-0.0033335003995399052,0.0087054420341334121,-0.040723467342750036,-0.00077138027503609818,0.040730772395631581,0.9991322332199305,0,0.9991322332199305,0.62007303889821919,0.57707057258506733,0.46984760068409726,0.65371594143400169,0.50067011923194937,0.3116319381203585,0.63101882998105763,0.58697524595326356,0.53731478380973585,0.0044322712304236808,0.016948007618669429,0.18426955351080415,0.0014784262563448107,0.11593253417588088,0.43401414521805892,0.0031115308248915959,0.012554386405136593,0.051591549836447211,0.32160469466842972,-0.14616425289504525,0.43393665560451444,-0.40307963216449483,-0.30841737458988411,-0.60468126011415202,0.24659694401171506,0.037479098237413133,-0.83332635677151601,0.13085781420993375,0.28973057267504859,0.71565431367046228,0.019597678577064372,0.0010485700020353096,0.10047330325405393,0.14339304353709095,-4.6514506038671684,3.5234392278938711,-0.076481821503868189,0.49139421066122685,0.16127228849175609,-0.00716168527232701,0.13114733229272685,-0.032721626602885613,0.032708848721533242,-0.088643807331870106,0.63140170626485892,0.077544925148297209,-0.26338204234269108,0.053023691752964425,0.11208934232075672,-0.00080102647352030243,0.01979907244910193,0.1800208097072323,0.35703500650860448,0.74288310658987644,0.00073337756394800311,-0.00033330851664016705,0.077595625733049012,-0.072077838721596621,-0.20646588062724569,-0.4047957707774219,0.0021502316574577634,0.00032680349647490624,-0.5697946167259238,0.089475242787484519,0.74164505170566764,1.8319139591139977,0.0018579632728003555,9.9409965577342864e-05,0.74694536636638553,1.0660221767405849,-129.45687668953798,98.062620995977724,-0.00036706071248967988,0.0023583579147561386,0.0031229196695907462,-0.00013868078647319283,0.010436229195290287,-0.0026038684043393273,0.00060025703745006007,-0.0016267484566735331,0.046751886199950514,0.0057417828934344202,-0.080142452780368009,0.016134162658757528,0.022365121209418318,-0.00015982834586510873,0.015939443835038609,0.14492757642274082,1.181196637015963,2.4577170619228506
3,operational_scan_only,focused_fitted_envelope_existence_point,false,false,0.02409007080517565,6,2090.1475228601839,2090.1475228601839,1,5.1181173500424366,2.4486871352691608,1.2209e+19,3,174,pdg-2024-msbar-mu-mt-v1,PDG-2024 MSbar masses evolved to mu=m_t(m_t),quarkConstraints.benchmarks.default_quark_targets,quarkConstraints.benchmarks.ckm_like_unitary PDG-like central target,163.5,3000,true,3.3734118899296741e-09,1.0667665058071e-08,3.2620597281237724e-09,7.9193315729387295e-09,5118.1173500424366,2.4486871352691608,5118.1173500424366,2,full_current_backend_at_physical_mgkk_with_qcd_rg,kk_gluon_tree_v1,quarkConstraints.modern.inputs.modern_default.operator_weights.repo_deltaf2_v1,epsilon_K,0.29613435823084783,0.29613435823084783,true,0.00041800000000000002,C4_LR,2.4165694234813408e-05,9.2576345697891019e-10,4.6673494259989387e-08,2.4165694234813408e-05,4.3722914910636369e-06,0.0030992156891935674,true,1.7419999999999999e-15,C4_LR,6.5026360805015233e-18,6.6438570217607167e-20,6.2925604033995804e-21,6.5026360805015233e-18,1.1765199099184806e-18,0.0029128199843370182,true,1.6670000000000001e-13,C4_LR,3.6088324824986319e-16,1.7164830420272197e-16,1.1411467066928195e-18,3.6088324824986319e-16,4.8025858453728552e-17,0.0048410562079101507,true,5.8439999999999997e-12,C4_LR,2.4109430946113479e-14,7.2578007965014985e-15,1.2159679954189672e-16,2.4109430946113479e-14,3.1969243755468978e-15,0.035832810828607405,true,3.1250000000000001e-15,C4_LR,1.2437755759253837e-16,3.9610050191350591e-18,3.2609194697483936e-18,1.2437755759253837e-16,1.9621947828223193e-17,bulk_mass_eigenbasis,"1,2,3 light_to_heavy",M=2*v*diag(F_Q)*Y_bulk*diag(F_u_or_F_d),raw SVD phase convention; compare abs entries and J unless rephased,5.7059928675609628,0.81833397823087495,5.7059928675609628,0.0011895431828227623,0.60228595104890614,162.42274769017359,0.0025883578449659448,0.051491799859297437,2.7319836795476142,0.0011895431830651732,0.60228595099926319,162.42274716034089,0.0025883578520396787,0.051491799822486681,2.7319836796918988,-2.0378487788208797e-10,8.242428961240429e-11,3.2620597281237724e-09,-2.7329041289588049e-09,7.148857059322981e-10,-5.2813087238208385e-11,0.22544369844916223,0.041487808106370275,0.0036799916909180195,3.1178778510128141e-05,0.22544369666379885,0.041487807872753274,0.0036799916940002909,3.1178778508794626e-05,7.9193315729387295e-09,5.6309796232413038e-09,-8.3757564515440262e-10,4.2769939228773848e-11,3.1178778510128141e-05,0.96397684641051806,0.14110363593880354,0.97424924762132503,0.22145270570666259,-0.042232218810229219,0.22544369844916223,0.00046274077341501086,-0.0036507820835876992,0.0036799916909180195,-0.22499897631110252,-0.01175072113237071,0.22530561197665455,0.9348863303611874,-0.27111564376506636,0.97340440875843248,0.039078140667339452,-0.013933310570522491,0.041487808106370275,-0.0043571697698388742,-0.0075365637198833556,0.0087054420397277808,0.017572564100947353,0.03674507899198589,0.040730772632116698,-0.50103239691970269,-0.86442568025052424,0.99913223321024136,0.9742492480344509,0,0.9742492480344509,0.22544369666379885,0,0.22544369666379885,0.0013471824067506084,-0.003424534775827626,0.0036799916940002909,-0.22530556767038121,-0.00013841974017208506,0.22530561019046375,0.97340440865482647,-3.2030671800460974e-05,0.97340440918182425,0.041487807872753274,0,0.041487807872753274,0.0080419211694671682,-0.0033335003995399052,0.0087054420341334121,-0.040723467342750036,-0.00077138027503609818,0.040730772395631581,0.9991322332199305,0,0.9991322332199305,0.61981362754542157,0.57681400460769516,0.46783191950029618,0.653828032572212,0.50112396175164498,0.31216912908965311,0.63130848313552868,0.58720743120816199,0.537972649809351,0.0044693809330888486,0.017078705864873468,0.18871577267057094,0.001472958953634906,0.11497111409643451,0.43339484912090209,0.0030823822155173646,0.012465424654166533,0.050731773802898644,-0.29253822534357865,-0.19991105472561041,-0.073201652959183919,0.5821326331044846,-0.62716543631812471,-0.148159828970547,-0.025752003530383236,-0.24584528433224698,0.71467131742241108,-0.45212227021414952,0.60426638410765821,0.41806988182004146,0.018473702421139777,-0.0054700399363066974,0.074573736899540444,-0.15263219768270478,-5.5369526083195373,-1.3785900108009113,0.3647677106215732,0.33406641013130323,0.12984932247283956,-0.1072430083731349,0.12895588986874018,0.047918044939824565,-0.03252466178337729,-0.092457597649055645,0.61490184368802847,-0.14674506679291641,-0.21409653401206499,-0.17457122784041559,0.083205704736612138,0.080718106612105961,-0.156984579711756,0.098555798812850232,-0.77196811015187738,-0.27154325039615518,-0.00067019299318941679,-0.00045798797056642858,-0.013089897432007823,0.10409678130371137,-0.42275862552906224,-0.099871329041860413,-0.00022544254104962561,-0.0021522203326641383,0.48834786713673439,-0.30894334355046893,1.5564901732206049,1.0768788069078807,0.0017870307756152491,-0.00052913755386893612,0.56306961164870917,-1.1524506595406943,-157.59484060051363,-39.237950615504339,0.0017487571112877829,0.001601569967264933,0.0025175226222641173,-0.0020792307153970719,0.010175314607856248,0.0037809919589745097,-0.0005958452511029633,-0.0016938045614277204,0.045556156497872882,-0.010871883531870864,-0.064554108371851826,-0.052636489481807151,0.016843294301719429,0.016339730904857457,-0.12851431808287442,0.080682009027909091,-2.5719756404459164,-0.90470398473974911
4,operational_scan_only,focused_fitted_envelope_existence_point,false,false,0.025237137661320411,6,2090.1475228601839,2090.1475228601839,1,5.1181173500424366,2.4486871352691608,1.2209e+19,3,174,pdg-2024-msbar-mu-mt-v1,PDG-2024 MSbar masses evolved to mu=m_t(m_t),quarkConstraints.benchmarks.default_quark_targets,quarkConstraints.benchmarks.ckm_like_unitary PDG-like central target,163.5,3000,true,7.5390318772043507e-09,2.3840512084580599e-08,9.2963781549674213e-09,1.5667468075402483e-08,5118.1173500424366,2.4486871352691608,5118.1173500424366,2,full_current_backend_at_physical_mgkk_with_qcd_rg,kk_gluon_tree_v1,quarkConstraints.modern.inputs.modern_default.operator_weights.repo_deltaf2_v1,epsilon_K,0.32154399262531719,0.32154399262531719,true,0.00041800000000000002,C4_LR,2.6240382007767046e-05,1.03132576705682e-09,4.9698272553204325e-08,2.6240382007767046e-05,4.7476641001911229e-06,0.0032491019539680785,true,1.7419999999999999e-15,C4_LR,6.8156205076650488e-18,7.1010923379236748e-20,6.4677677125897393e-21,6.8156205076650488e-18,1.2331480843224704e-18,0.0030544661860334252,true,1.6670000000000001e-13,C4_LR,3.7375852152233574e-16,1.8411188991122337e-16,1.1411636316110715e-18,3.7375852152233574e-16,4.973928254513641e-17,0.0050512726306186249,true,5.8439999999999997e-12,C4_LR,2.4961521024773318e-14,7.7468097631502089e-15,1.2211597135351357e-16,2.4961521024773318e-14,3.3099120088393559e-15,0.035526993995027754,true,3.1250000000000001e-15,C4_LR,1.2330491818095568e-16,3.9802214914672877e-18,3.1894439632064976e-18,1.2330491818095568e-16,1.9452726989834303e-17,bulk_mass_eigenbasis,"1,2,3 light_to_heavy",M=2*v*diag(F_Q)*Y_bulk*diag(F_u_or_F_d),raw SVD phase convention; compare abs entries and J unless rephased,5.6423400973957314,0.81537943766715626,5.6423400973957314,0.0011895431835691344,0.60228595101861226,162.42274565039762,0.0025883578685279049,0.051491799775302279,2.7319836805076028,0.0011895431830651732,0.60228595099926319,162.42274716034089,0.0025883578520396787,0.051491799822486681,2.7319836796918988,4.2365955179498154e-10,3.212607957385226e-11,-9.2963781549674213e-09,6.3701492766520618e-09,-9.1634788687918109e-10,2.9857560863694351e-10,0.22544369313166693,0.041487807347897261,0.0036799917128169002,3.1178778417357128e-05,0.22544369666379885,0.041487807872753274,0.0036799916940002909,3.1178778508794626e-05,-1.5667468075402483e-08,-1.2650849483966725e-08,5.1132205884285026e-09,-2.9326837807210349e-09,3.1178778417357128e-05,0.79445446790389318,-0.56391816544219386,0.97424924885172359,-0.13122107119749779,0.18331909133155341,0.22544369313166693,-0.0021873844324309085,-0.0029593391747415464,0.0036799917128169002,0.17061300279011057,-0.14715236889347125,0.22530560665908544,0.48888654660345626,-0.84172803802629237,0.97340441002157219,-0.01858369439359776,0.037092916590928803,0.041487807347897261,0.0083716154773754419,0.0023876293959347451,0.0087054419665726201,0.038155978201650738,0.014251915842595593,0.040730771877160316,0.96111212774731791,0.27299944578602975,0.99913223324165468,0.9742492480344509,0,0.9742492480344509,0.22544369666379885,0,0.22544369666379885,0.0013471824067506084,-0.003424534775827626,0.0036799916940002909,-0.22530556767038121,-0.00013841974017208506,0.22530561019046375,0.97340440865482647,-3.2030671800460974e-05,0.97340440918182425,0.041487807872753274,0,0.041487807872753274,0.0080419211694671682,-0.0033335003995399052,0.0087054420341334121,-0.040723467342750036,-0.00077138027503609818,0.040730772395631581,0.9991322332199305,0,0.9991322332199305,0.61968050222660986,0.57668072164449935,0.46679781427577399,0.65388606508601765,0.50135784597839717,0.31244688279530675,0.63145759053275552,0.58732661458994995,0.53830108355799722,0.0044885414195641841,0.017146965572074884,0.19098665985432667,0.0014701361831214658,0.11447674925928941,0.43307429590136343,0.0030674808528679707,0.012419988798022205,0.050306642170896754,0.2995126445450868,0.19030006405275457,0.56755634005827527,-0.13704422204872033,0.29358607664739717,-0.55469787775105839,-0.07978914946550833,-0.23274514098221769,0.76173027492023482,0.36977001020035771,0.4427195670051301,-0.56347444275842673,0.016454678855119632,-0.0096619244841088716,0.16599906784100318,-0.020466570256341254,-1.5699024293369748,5.4195394764722904,0.49250477262657633,-0.026933323926467998,-0.15752514871044543,0.068928471988718834,-0.13615457394228367,0.026462612847538286,0.096812038628542429,0.024233654550515776,0.62316174355172538,-0.093430484498179284,-0.27948847196344057,0.016747485795083946,-0.11440064430413148,0.028226390249046666,-0.16480500500441617,0.089248569527060437,-0.74188973451309448,0.33829461892631135,0.00068779214157765423,0.00043699954235990838,0.10148707810961136,-0.024505439699786177,0.19860141769238338,-0.37523504578395078,-0.00069995145725213891,-0.0020417600850511823,0.52033737924628853,0.25258961651704781,1.1440832960833947,-1.4561400619601363,0.0016077897463557427,-0.00094406844718093426,1.2630054226190095,-0.15572008657862424,-45.187399307241151,155.99370369032283,0.0023598086299360006,-0.00012904949102438665,-0.0030560157172119622,0.0013372245351637706,-0.010698971901100023,0.0020794215213476202,0.0017720572386654995,0.00044357523686005607,0.046183677062758222,-0.0069243071618737585,-0.083898800050103917,0.0050273771658371005,-0.02332344016008658,0.0057546574839099571,-0.13604227261411725,0.0736723877147724,-2.4805441975157199,1.1311044148349003
