ew_model,r,mkk_tev,constraint_id,tag,severity,points,evaluated,active,failed,vetoed,veto_fraction
custodial_rs_plr,0.05,3.0,CR002,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,CR003,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,CR004,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,CR007,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,CR008,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,CR010,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,CR012,proxy,HARD,9843,9843,9843,9843,9843,1.0
custodial_rs_plr,0.05,3.0,CR013,proxy,HARD,9843,9843,9843,9843,9843,1.0
custodial_rs_plr,0.05,3.0,E004,partial,INFO,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,E006,partial,INFO,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,E007,partial,INFO,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,E008,partial,INFO,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,E009,partial,INFO,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,EW001,proxy,HARD,9843,9843,9843,9843,9843,1.0
custodial_rs_plr,0.05,3.0,EW003,partial,SOFT,9843,9843,9843,9843,0,0.0
custodial_rs_plr,0.05,3.0,K001,rigorous,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,K002,rigorous,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,K003,partial,INFO,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,K013,partial,INFO,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,T001,partial,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,T002,partial,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,T003,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,T004,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,T005,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,T006,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,T007,proxy,HARD,9843,9843,9843,0,0,0.0
custodial_rs_plr,0.05,3.0,T008,proxy,HARD,9843,9843,9843,0,0,0.0
